fiscal_year,Tax Effect Of Unusual Items,Tax Rate For Calcs,Normalized EBITDA,Net Income From Continuing Operation Net Minority Interest,Reconciled Depreciation,Reconciled Cost Of Revenue,EBITDA,EBIT,Net Interest Income,Interest Expense,Interest Income,Normalized Income,Net Income From Continuing And Discontinued Operation,Total Expenses,Total Operating Income As Reported,Diluted Average Shares,Basic Average Shares,Diluted EPS,Basic EPS,Diluted NI Availto Com Stockholders,Net Income Common Stockholders,Net Income,Net Income Including Noncontrolling Interests,Net Income Continuous Operations,Tax Provision,Pretax Income,Other Income Expense,Other Non Operating Income Expenses,Net Non Operating Interest Income Expense,Interest Expense Non Operating,Interest Income Non Operating,Operating Income,Operating Expense,Research And Development,Selling General And Administration,Gross Profit,Cost Of Revenue,Total Revenue,Operating Revenue,ticker,Total Unusual Items,Total Unusual Items Excluding Goodwill,Special Income Charges,Write Off,Gain On Sale Of Security,Selling And Marketing Expense,General And Administrative Expense,Other Gand A,Rent Expense Supplemental,Average Dilution Earnings,Otherunder Preferred Stock Dividend,Minority Interests,Restructuring And Mergern Acquisition
2025-09-30,0.0,0.156,144748000000.0,112010000000.0,11698000000.0,220960000000.0,144748000000.0,133050000000.0,,,,112010000000.0,112010000000.0,283111000000.0,133050000000.0,15004697000.0,14948500000.0,7.46,7.49,112010000000.0,112010000000.0,112010000000.0,112010000000.0,112010000000.0,20719000000.0,132729000000.0,-321000000.0,-321000000.0,,,,133050000000.0,62151000000.0,34550000000.0,27601000000.0,195201000000.0,220960000000.0,416161000000.0,416161000000.0,AAPL,,,,,,,,,,,,,
2024-09-30,0.0,0.241,134661000000.0,93736000000.0,11445000000.0,210352000000.0,134661000000.0,123216000000.0,,,,93736000000.0,93736000000.0,267819000000.0,123216000000.0,15408095000.0,15343783000.0,6.08,6.11,93736000000.0,93736000000.0,93736000000.0,93736000000.0,93736000000.0,29749000000.0,123485000000.0,269000000.0,269000000.0,,,,123216000000.0,57467000000.0,31370000000.0,26097000000.0,180683000000.0,210352000000.0,391035000000.0,391035000000.0,AAPL,,,,,,,,,,,,,
2023-09-30,0.0,0.147,125820000000.0,96995000000.0,11519000000.0,214137000000.0,125820000000.0,114301000000.0,-183000000.0,3933000000.0,3750000000.0,96995000000.0,96995000000.0,268984000000.0,114301000000.0,15812547000.0,15744231000.0,6.13,6.16,96995000000.0,96995000000.0,96995000000.0,96995000000.0,96995000000.0,16741000000.0,113736000000.0,-565000000.0,-565000000.0,-183000000.0,3933000000.0,3750000000.0,114301000000.0,54847000000.0,29915000000.0,24932000000.0,169148000000.0,214137000000.0,383285000000.0,383285000000.0,AAPL,,,,,,,,,,,,,
2022-09-30,0.0,0.162,130541000000.0,99803000000.0,11104000000.0,223546000000.0,130541000000.0,119437000000.0,-106000000.0,2931000000.0,2825000000.0,99803000000.0,99803000000.0,274891000000.0,119437000000.0,16325819000.0,16215963000.0,6.11,6.15,99803000000.0,99803000000.0,99803000000.0,99803000000.0,99803000000.0,19300000000.0,119103000000.0,-334000000.0,-334000000.0,-106000000.0,2931000000.0,2825000000.0,119437000000.0,51345000000.0,26251000000.0,25094000000.0,170782000000.0,223546000000.0,394328000000.0,394328000000.0,AAPL,,,,,,,,,,,,,
2021-09-30,,,,,,,,,198000000.0,2645000000.0,2843000000.0,,,,,,,,,,,,,,,,,,198000000.0,2645000000.0,2843000000.0,,,,,,,,,AAPL,,,,,,,,,,,,,
2025-06-30,-77088000.0,0.176,160603000000.0,101832000000.0,34153000000.0,87831000000.0,160165000000.0,126012000000.0,262000000.0,2385000000.0,2647000000.0,102192912000.0,101832000000.0,153196000000.0,128528000000.0,7465000000.0,7433000000.0,13.64,13.7,101832000000.0,101832000000.0,101832000000.0,101832000000.0,101832000000.0,21795000000.0,123627000000.0,-5163000000.0,-4725000000.0,262000000.0,2385000000.0,2647000000.0,128528000000.0,65365000000.0,32488000000.0,32877000000.0,193893000000.0,87831000000.0,281724000000.0,281724000000.0,MSFT,-438000000.0,-438000000.0,-943000000.0,943000000.0,505000000.0,25654000000.0,7223000000.0,7223000000.0,,,,,
2024-06-30,-99918000.0,0.182,133558000000.0,88136000000.0,22287000000.0,74114000000.0,133009000000.0,110722000000.0,222000000.0,2935000000.0,3157000000.0,88585082000.0,88136000000.0,135689000000.0,109433000000.0,7469000000.0,7431000000.0,11.8,11.86,88136000000.0,88136000000.0,88136000000.0,88136000000.0,88136000000.0,19651000000.0,107787000000.0,-1868000000.0,-1319000000.0,222000000.0,2935000000.0,3157000000.0,109433000000.0,61575000000.0,29510000000.0,32065000000.0,171008000000.0,74114000000.0,245122000000.0,245122000000.0,MSFT,-549000000.0,-549000000.0,-206000000.0,206000000.0,-343000000.0,24456000000.0,7609000000.0,7609000000.0,,,,,
2023-06-30,-2850000.0,0.19,105155000000.0,72361000000.0,13861000000.0,65863000000.0,105140000000.0,91279000000.0,1026000000.0,1968000000.0,2994000000.0,72373150000.0,72361000000.0,123392000000.0,88523000000.0,7472000000.0,7446000000.0,9.68,9.72,72361000000.0,72361000000.0,72361000000.0,72361000000.0,72361000000.0,16950000000.0,89311000000.0,-238000000.0,-223000000.0,1026000000.0,1968000000.0,2994000000.0,88523000000.0,57529000000.0,27195000000.0,30334000000.0,146052000000.0,65863000000.0,211915000000.0,211915000000.0,MSFT,-15000000.0,-15000000.0,-30000000.0,30000000.0,15000000.0,22759000000.0,7575000000.0,7575000000.0,,,,,
2022-06-30,43754000.0,0.131,99905000000.0,72738000000.0,14460000000.0,62650000000.0,100239000000.0,85779000000.0,31000000.0,2063000000.0,2094000000.0,72447754000.0,72738000000.0,114887000000.0,83383000000.0,7540000000.0,7496000000.0,9.65,9.7,72738000000.0,72738000000.0,72738000000.0,72738000000.0,72738000000.0,10978000000.0,83716000000.0,302000000.0,-32000000.0,31000000.0,2063000000.0,2094000000.0,83383000000.0,52237000000.0,24512000000.0,27725000000.0,135620000000.0,62650000000.0,198270000000.0,198270000000.0,MSFT,334000000.0,334000000.0,-101000000.0,101000000.0,435000000.0,21825000000.0,5900000000.0,5900000000.0,,,,,
2025-12-31,-133380000.0,0.27,12258000000.0,3794000000.0,6148000000.0,77733000000.0,11764000000.0,5616000000.0,1342000000.0,338000000.0,1680000000.0,4154620000.0,3794000000.0,89978000000.0,4355000000.0,3526250000.0,3224750000.0,1.08,1.176525,3794000000.0,3794000000.0,3794000000.0,3855000000.0,3855000000.0,1423000000.0,5278000000.0,-913000000.0,-419000000.0,1342000000.0,338000000.0,1680000000.0,4849000000.0,12245000000.0,6411000000.0,5834000000.0,17094000000.0,77733000000.0,94827000000.0,94827000000.0,TSLA,-494000000.0,-494000000.0,-494000000.0,,,,,,,,,-61000000.0,494000000.0
2024-12-31,-136800000.0,0.2,15392000000.0,7130000000.0,5368000000.0,80240000000.0,14708000000.0,9340000000.0,1219000000.0,350000000.0,1569000000.0,7677200000.0,7130000000.0,89930000000.0,7076000000.0,3216000000.0,3216000000.0,2.04,2.23,7130000000.0,7130000000.0,7130000000.0,7153000000.0,7153000000.0,1837000000.0,8990000000.0,11000000.0,695000000.0,1219000000.0,350000000.0,1569000000.0,7760000000.0,9690000000.0,4540000000.0,5150000000.0,17450000000.0,80240000000.0,97690000000.0,97690000000.0,TSLA,-684000000.0,-684000000.0,-684000000.0,,,,,,1003000000.0,0.0,,-23000000.0,684000000.0
2023-12-31,0.0,0.21,14796000000.0,14999000000.0,4667000000.0,79113000000.0,14796000000.0,10129000000.0,910000000.0,156000000.0,1066000000.0,14999000000.0,14999000000.0,87882000000.0,8891000000.0,3482750000.0,3173500000.0,4.31,4.725697,14999000000.0,14999000000.0,14999000000.0,14974000000.0,14974000000.0,-5001000000.0,9973000000.0,172000000.0,172000000.0,910000000.0,156000000.0,1066000000.0,8891000000.0,8769000000.0,3969000000.0,4800000000.0,17660000000.0,79113000000.0,96773000000.0,96773000000.0,TSLA,0.0,0.0,0.0,,,,,,1268000000.0,0.0,,25000000.0,0.0
2022-12-31,-14080000.0,0.08,17833000000.0,12583000000.0,3747000000.0,60609000000.0,17657000000.0,13910000000.0,106000000.0,191000000.0,297000000.0,12744920000.0,12583000000.0,67630000000.0,13656000000.0,3475000000.0,3130000000.0,3.62,4.02,12584000000.0,12583000000.0,12583000000.0,12587000000.0,12587000000.0,1132000000.0,13719000000.0,-219000000.0,-43000000.0,106000000.0,191000000.0,297000000.0,13832000000.0,7021000000.0,3075000000.0,3946000000.0,20853000000.0,60609000000.0,81462000000.0,81462000000.0,TSLA,-176000000.0,-176000000.0,-176000000.0,,,,,,1509000000.0,1000000.0,,-4000000.0,176000000.0
2021-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSLA,,,,,,,,,978000000.0,9000000.0,-5000000.0,,
